catagory,norm_url,cc_url,query,CC_results,total_results,CC_percent,,,,,Category,queries ,avg results,avg cc results,avg % CC
books,https://www.google.com/search?as_q=Lolita+by+Vladimir+Nabokov,https://www.google.com/search?as_q=Lolita+by+Vladimir+Nabokov&tbs=sur:fm,Lolita+by+Vladimir+Nabokov,4810,1230000,0.391056911,,,,,,,,,
books,https://www.google.com/search?as_q=Middlemarch+by+George+Eliot,https://www.google.com/search?as_q=Middlemarch+by+George+Eliot&tbs=sur:fm,Middlemarch+by+George+Eliot,3920,1370000,0.286131387,,,,,,,,,
books,https://www.google.com/search?as_q=Gone+with+the+Wind+by+Margaret+Mitchell,https://www.google.com/search?as_q=Gone+with+the+Wind+by+Margaret+Mitchell&tbs=sur:fm,Gone+with+the+Wind+by+Margaret+Mitchell,6010,3330000,0.18048048,,,,,,,,,
books,https://www.google.com/search?as_q=The+Grapes+of+Wrath+by+John+Steinbeck,https://www.google.com/search?as_q=The+Grapes+of+Wrath+by+John+Steinbeck&tbs=sur:fm,The+Grapes+of+Wrath+by+John+Steinbeck,6150,1380000,0.445652174,,,,,,,,,
books,https://www.google.com/search?as_q=Slaughterhouse-Five+by+Kurt+Vonnegut,https://www.google.com/search?as_q=Slaughterhouse-Five+by+Kurt+Vonnegut&tbs=sur:fm,Slaughterhouse-Five+by+Kurt+Vonnegut,1940,701000,0.276747504,,,,,,,,,
books,https://www.google.com/search?as_q=The+Kite+Runner+by+Khaled+Hosseini,https://www.google.com/search?as_q=The+Kite+Runner+by+Khaled+Hosseini&tbs=sur:fm,The+Kite+Runner+by+Khaled+Hosseini,1500,889000,0.168728909,,,,,,,,,
books,https://www.google.com/search?as_q=The+Handmaid's+Tale+by+Margaret+Atwood,https://www.google.com/search?as_q=The+Handmaid's+Tale+by+Margaret+Atwood&tbs=sur:fm,The+Handmaid's+Tale+by+Margaret+Atwood,3190,4490000,0.071046771,,,,,,,,,
books,https://www.google.com/search?as_q=The+Alchemist+by+Paulo+Coelho,https://www.google.com/search?as_q=The+Alchemist+by+Paulo+Coelho&tbs=sur:fm,The+Alchemist+by+Paulo+Coelho,2120,2480000,0.085483871,,,,,,,,,
books,https://www.google.com/search?as_q=Life+of+Pi+by+Yann+Martel,https://www.google.com/search?as_q=Life+of+Pi+by+Yann+Martel&tbs=sur:fm,Life+of+Pi+by+Yann+Martel,1850,1490000,0.124161074,,,,,,,,,
books,https://www.google.com/search?as_q=The+Road+by+Cormac+McCarthy,https://www.google.com/search?as_q=The+Road+by+Cormac+McCarthy&tbs=sur:fm,The+Road+by+Cormac+McCarthy,3900,2240000,0.174107143,,,,,,,,,
books,https://www.google.com/search?as_q=To+the+Lighthouse+by+Virginia+Woolf,https://www.google.com/search?as_q=To+the+Lighthouse+by+Virginia+Woolf&tbs=sur:fm,To+the+Lighthouse+by+Virginia+Woolf,2440,830000,0.293975904,,,,,,,,,
books,https://www.google.com/search?as_q=Little+Women+by+Louisa+May+Alcott,https://www.google.com/search?as_q=Little+Women+by+Louisa+May+Alcott&tbs=sur:fm,Little+Women+by+Louisa+May+Alcott,9380,13500000,0.069481481,,,,,,,,,
books,https://www.google.com/search?as_q=Fahrenheit+451+by+Ray+Bradbury,https://www.google.com/search?as_q=Fahrenheit+451+by+Ray+Bradbury&tbs=sur:fm,Fahrenheit+451+by+Ray+Bradbury,5670,2370000,0.239240506,,,,,,,,,
books,https://www.google.com/search?as_q=Dracula+by+Bram+Stoker,https://www.google.com/search?as_q=Dracula+by+Bram+Stoker&tbs=sur:fm,Dracula+by+Bram+Stoker,13200,16300000,0.080981595,,,,,,,,,
books,https://www.google.com/search?as_q=Emma+by+Jane+Austen,https://www.google.com/search?as_q=Emma+by+Jane+Austen&tbs=sur:fm,Emma+by+Jane+Austen,12400,11900000,0.104201681,,,,,,,,,
books,https://www.google.com/search?as_q=Frankenstein+by+Mary+Shelley,https://www.google.com/search?as_q=Frankenstein+by+Mary+Shelley&tbs=sur:fm,Frankenstein+by+Mary+Shelley,20500,16500000,0.124242424,,,,,,,,,
books,https://www.google.com/search?as_q=A+Passage+to+India+by+E.M.+Forster,https://www.google.com/search?as_q=A+Passage+to+India+by+E.M.+Forster&tbs=sur:fm,A+Passage+to+India+by+E.M.+Forster,2300,639000,0.359937402,,,,,,,,,
books,https://www.google.com/search?as_q=Heart+of+Darkness+by+Joseph+Conrad,https://www.google.com/search?as_q=Heart+of+Darkness+by+Joseph+Conrad&tbs=sur:fm,Heart+of+Darkness+by+Joseph+Conrad,7340,4210000,0.174346793,,,,,,,,,
books,https://www.google.com/search?as_q=Gulliver's+Travels+by+Jonathan+Swift,https://www.google.com/search?as_q=Gulliver's+Travels+by+Jonathan+Swift&tbs=sur:fm,Gulliver's+Travels+by+Jonathan+Swift,5730,1190000,0.481512605,,,,,,,,,
books,https://www.google.com/search?as_q=On+the+Road+by+Jack+Kerouac,https://www.google.com/search?as_q=On+the+Road+by+Jack+Kerouac&tbs=sur:fm,On+the+Road+by+Jack+Kerouac,5330,2450000,0.21755102,,,,,,,,,
books,https://www.google.com/search?as_q=The+Sun+Also+Rises+by+Ernest+Hemingway,https://www.google.com/search?as_q=The+Sun+Also+Rises+by+Ernest+Hemingway&tbs=sur:fm,The+Sun+Also+Rises+by+Ernest+Hemingway,2860,1060000,0.269811321,,,,,,,,,
books,https://www.google.com/search?as_q=The+Old+Man+and+the+Sea+by+Ernest+Hemingway,https://www.google.com/search?as_q=The+Old+Man+and+the+Sea+by+Ernest+Hemingway&tbs=sur:fm,The+Old+Man+and+the+Sea+by+Ernest+Hemingway,9870,4550000,0.216923077,,,,,,,,,
